,Adjektiv,P(han),P(hun),Differanse
221,kjip,0.004341950640082359,0.7204877734184265,-0.7161458227783442
222,kjødelig,0.005320543423295021,0.7398722767829895,-0.7345517333596945
223,klassisk,0.002719786250963807,0.7007341966964304,-0.6980144104454666
224,klein,0.003328726626932621,0.8224132061004639,-0.8190844794735312
225,klok,0.005879711825400591,0.7574903999920934,-0.7516106881666929
226,knuslete,0.0025702386628836393,0.871408224105835,-0.8688379854429513
227,koffeinholdig,0.0030120406299829483,0.7847257256507874,-0.7817136850208044
228,kommunistisk,0.007830081507563591,0.8511753678321838,-0.8433452863246202
229,komparabel,0.0028505423106253147,0.7569911484606564,-0.7541406061500311
230,kompleks,0.003631895175203681,0.7497960329055786,-0.7461641377303749
231,komplisert,0.0030387546867132187,0.8148820996284485,-0.8118433449417353
232,konsekvent,0.0050742533057928085,0.7374089094810188,-0.732334656175226
233,konsentrisk,0.005497097969055176,0.8550381145905703,-0.8495410166215152
234,korpulent,0.005120040848851204,0.7364777326583862,-0.731357691809535
235,korthugget,0.003976022824645042,0.8127168416976929,-0.8087408188730478
236,krank,0.0038457242771983147,0.8302472233772278,-0.8264014991000295
237,krass,0.002256992971524596,0.8306827545166016,-0.828425761545077
238,kriminell,0.0037613771855831146,0.8130381107330322,-0.8092767335474491
239,kristadelfiansk,0.004206130281090736,0.861592173576355,-0.8573860432952642
240,kristen,0.00346955843269825,0.77235022559762,-0.7688806671649218
241,kroatisk,0.005971899256110191,0.8696640133857727,-0.8636921141296625
242,kry,0.003927562385797501,0.8021080493927002,-0.7981804870069027
243,kulturmessig,0.0032428523991256952,0.6668626808095723,-0.6636198284104466
244,kunst,0.002948074135929346,0.6913511361926794,-0.6884030620567501
245,kunstferdig,0.0038561695255339146,0.7893709789495915,-0.7855148094240576
246,kynisk,0.004624807275831699,0.7422842979431152,-0.7376594906672835
247,langsom,0.006247714627534151,0.8365510702133179,-0.8303033555857837
248,langtekkelig,0.0049841636791825294,0.7704715728759766,-0.765487409196794
249,laotisk,0.006919255945831537,0.8228456974029541,-0.8159264414571226
250,latterlig,0.0029103653505444527,0.7045601606369019,-0.7016497952863574
251,latvisk,0.004867957904934883,0.8047550320625305,-0.7998870741575956
252,lav,0.003492950461804867,0.8360106581822038,-0.8325177077203989
253,lesvisk,0.005342478863894939,0.7607117891311646,-0.7553693102672696
254,levedyktig,0.0041894251480698586,0.7615739107131958,-0.7573844855651259
255,lidenskapelig,0.004056160803884268,0.7450780272483826,-0.7410218664444983
256,likegyldig,0.0030808225274086,0.7941617965698242,-0.7910809740424156
257,litterær,0.0041833557188510895,0.6083990593906492,-0.6042157036717981
258,lovlig,0.0036111585795879364,0.8122217655181885,-0.8086106069386005
259,lovmessig,0.005375826731324196,0.7150982050225139,-0.7097223782911897
260,lutheransk,0.007381329778581858,0.7867792844772339,-0.779397954698652
261,lystig,0.004101808648556471,0.7693914175033569,-0.7652896088548005
262,lærd,0.006168582011014223,0.7463220036588609,-0.7401534216478467
263,løgnaktig,0.003019111230969429,0.7530799508094788,-0.7500608395785093
264,makeløs,0.0029061632230877876,0.7189107516314834,-0.7160045884083956
265,malayisk,0.00632128119468689,0.7944604158401489,-0.788139134645462
266,mangedoblet,0.0043529001995921135,0.7228448987007141,-0.718491998501122
267,mangfoldig,0.004131022375077009,0.7556930184364319,-0.7515619960613549
268,manipulerende,0.0029858252964913845,0.7952283776830882,-0.7922425523865968
269,maritim,0.0034826090559363365,0.83342045545578,-0.8299378463998437
270,markinsk,0.005401656497269869,0.817269504070282,-0.8118678475730121
271,masse,0.003229931928217411,0.846001386642456,-0.8427714547142386
272,matematisk,0.0043105557560920715,0.7287631146609783,-0.7244525589048862
273,melankolsk,0.004570572171360254,0.7116921544075012,-0.707121582236141
274,mesopotamisk,0.007666028570383787,0.8315438032150269,-0.8238777746446431
275,metrisk,0.004975007846951485,0.7907828739844263,-0.7858078661374748
276,mild,0.0035661766305565834,0.7447448121383786,-0.741178635507822
277,militær,0.005102835595607758,0.8394624590873718,-0.8343596234917641
278,misfarget,0.003646532306447625,0.7869797945022583,-0.7833332621958107
279,moden,0.00534222275018692,0.7013938203454018,-0.6960515975952148
280,molar,0.007249963004142046,0.8220512270927429,-0.8148012640886009
281,monarkisk,0.00521148880943656,0.7701082825660706,-0.764896793756634
282,mongo,0.009797811508178711,0.8271028995513916,-0.8173050880432129
283,motbydelig,0.0041959090158343315,0.7708322405815125,-0.7666363315656781
284,motvillig,0.0034227159339934587,0.7420184016227722,-0.7385956856887788
285,muhammedansk,0.007354922592639923,0.8221842646598816,-0.8148293420672417
286,måteholden,0.004714994225651026,0.7603713870048523,-0.7556563927792013
287,mørk,0.0058741020038723946,0.755911648273468,-0.7500375462695956
288,naturstridig,0.003998971078544855,0.7943224906921387,-0.7903235196135938
289,nedlatende,0.00221700849942863,0.767715253168717,-0.7654982446692884
290,nektende,0.0018889961065724492,0.8500709214713424,-0.84818192536477
291,nidkjær,0.0036636132281273603,0.8026617169380188,-0.7989981037098914
292,nistemmig,0.005322491284459829,0.7780452966690063,-0.7727228053845465
293,nonfigurativ,0.006330777890980244,0.7373106661252677,-0.7309798882342875
294,normal,0.004800930619239807,0.7348721027374268,-0.730071172118187
295,numerologisk,0.0037059166934341192,0.8185930848121643,-0.8148871681187302
296,nyskapende,0.0027781566604971886,0.7636869605630636,-0.7609088039025664
297,nådig,0.004718960262835026,0.7428325123619288,-0.7381135520990938
298,nødtørftig,0.002871588570997119,0.8021483421325684,-0.7992767535615712
299,nøysom,0.004782999400049448,0.7845954895019531,-0.7798124901019037
300,omansk,0.00820394791662693,0.8087687492370605,-0.8005648013204336
301,omfangsrik,0.0038524081464856863,0.8372793197631836,-0.8334269116166979
302,omstendelig,0.00492891576141119,0.7261347770690918,-0.7212058613076806
