,Adjektiv,P(han),P(hun),Differanse
83,forvirret,0.059820305556058884,0.08818158507347107,-0.028361279517412186
137,klinisk,0.1011032834649086,0.12917491793632507,-0.028071634471416473
115,husløs,0.045397091656923294,0.07315976917743683,-0.027762677520513535
207,selvopptatt,0.10494589060544968,0.12734155356884003,-0.02239566296339035
236,stygg som juling,0.034949805587530136,0.05581890791654587,-0.020869102329015732
170,nybakt,0.058850888162851334,0.0782947689294815,-0.019443880766630173
146,latvisk,0.05388256162405014,0.07285597920417786,-0.018973417580127716
100,genierklært,0.14783655107021332,0.1660873293876648,-0.018250778317451477
221,smigret,0.036509137600660324,0.05339444801211357,-0.016885310411453247
127,jovial,0.14728817343711853,0.1638108491897583,-0.01652267575263977
235,stum som en østers,0.04236334189772606,0.05823049321770668,-0.01586715131998062
